censuscode,district,state,centroid_lat,centroid_lon,area_km2
147.0,Firozabad,Uttar Pradesh,27.180605,78.539867,2404.51
148.0,Mainpuri,Uttar Pradesh,27.180573,79.059074,2700.08
149.0,Budaun,Uttar Pradesh,28.115296,78.945362,5078.93
150.0,Bareilly,Uttar Pradesh,28.449429,79.422282,3784.25
151.0,Pilibhit,Uttar Pradesh,28.541825,79.961698,3590.73
152.0,Shahjahanpur,Uttar Pradesh,27.975739,79.844933,4650.9
153.0,Kheri,Uttar Pradesh,28.122514,80.667047,7703.68
154.0,Sitapur,Uttar Pradesh,27.517716,80.85739,5775.25
155.0,Hardoi,Uttar Pradesh,27.328706,80.162509,6006.65
156.0,Unnao,Uttar Pradesh,26.609176,80.55935,4594.16
157.0,Lucknow,Uttar Pradesh,26.841571,80.906732,2537.07
158.0,Rae Bareli,Uttar Pradesh,26.228795,81.23136,4614.65
159.0,Farrukhabad,Uttar Pradesh,27.430377,79.461343,2184.5
160.0,Kannauj,Uttar Pradesh,27.011972,79.687944,2073.98
161.0,Etawah,Uttar Pradesh,26.759287,79.096551,2325.51
162.0,Auraiya,Uttar Pradesh,26.660686,79.482755,2006.3
163.0,Kanpur Dehat,Uttar Pradesh,26.444783,79.85713,3211.03
164.0,Kanpur Nagar,Uttar Pradesh,26.380524,80.215779,2876.88
165.0,Jalaun,Uttar Pradesh,26.091189,79.387426,4570.96
166.0,Jhansi,Uttar Pradesh,25.505448,78.953975,5067.9
167.0,Lalitpur,Uttar Pradesh,24.653336,78.561883,5051.51
168.0,Hamirpur,Uttar Pradesh,25.73161,79.878936,4259.53
169.0,Mahoba,Uttar Pradesh,25.344272,79.696648,2870.73
170.0,Banda,Uttar Pradesh,25.465005,80.561799,4529.01
171.0,Chitrakoot,Uttar Pradesh,25.205111,81.089623,3079.55
172.0,Fatehpur,Uttar Pradesh,25.873335,80.806992,4171.84
173.0,Pratapgarh,Uttar Pradesh,25.872555,81.831443,3710.71
174.0,Kaushambi,Uttar Pradesh,25.488742,81.453591,2027.53
175.0,Allahabad,Uttar Pradesh,25.298896,81.971718,5214.06
176.0,Bara Banki,Uttar Pradesh,26.938642,81.327403,3789.92
177.0,Faizabad,Uttar Pradesh,26.658914,81.992424,2734.44
178.0,Ambedkar Nagar,Uttar Pradesh,26.420062,82.668547,2315.1
179.0,Sultanpur,Uttar Pradesh,26.274927,82.020115,4413.96
180.0,Bahraich,Uttar Pradesh,27.736385,81.451867,4322.63
181.0,Shrawasti,Uttar Pradesh,27.654697,81.883967,2503.22
182.0,Balrampur,Uttar Pradesh,27.484972,82.377593,3322.72
183.0,Gonda,Uttar Pradesh,27.08411,82.025569,4033.92
184.0,Siddharth Nagar,Uttar Pradesh,27.274054,82.873443,2832.11
185.0,Basti,Uttar Pradesh,26.818345,82.631087,2882.61
186.0,Sant Kabir Nagar,Uttar Pradesh,26.79016,83.034814,1599.28
187.0,Maharajganj,Uttar Pradesh,27.202529,83.533259,2900.82
188.0,Gorakhpur,Uttar Pradesh,26.657783,83.361434,3363.92
189.0,Kushinagar,Uttar Pradesh,26.86171,83.934855,2889.23
190.0,Deoria,Uttar Pradesh,26.422737,83.836566,2557.15
191.0,Azamgarh,Uttar Pradesh,26.047042,83.069655,4271.76
192.0,Mau,Uttar Pradesh,26.043059,83.56288,1695.49
193.0,Ballia,Uttar Pradesh,25.875384,84.105463,3009.14
194.0,Jaunpur,Uttar Pradesh,25.746,82.575913,4031.38
195.0,Ghazipur,Uttar Pradesh,25.622446,83.556211,3384.8
196.0,Chandauli,Uttar Pradesh,25.137431,83.261087,2533.58
197.0,Varanasi,Uttar Pradesh,25.38805,82.917583,1549.64
198.0,Sant Ravi Das Nagar(bhadohi),Uttar Pradesh,25.348074,82.464226,1007.89
199.0,Mirzapur,Uttar Pradesh,24.985413,82.619196,4511.84
200.0,Sonbhadra,Uttar Pradesh,24.402122,83.053516,6783.1
201.0,Etah,Uttar Pradesh,27.512064,78.713186,2514.15
202.0,Kansiram Nagar,Uttar Pradesh,27.777216,78.84537,1966.73
203.0,Pashchim Champaran,Bihar,27.079249,84.34121,5258.1
204.0,Purba Champaran,Bihar,26.61845,84.924678,3990.86
205.0,Sheohar,Bihar,26.527042,85.28993,289.23
206.0,Sitamarhi,Bihar,26.576001,85.539693,2340.62
207.0,Madhubani,Bihar,26.405665,86.217927,3458.72
208.0,Supaul,Bihar,26.247697,86.800091,2415.89
209.0,Araria,Bihar,26.199497,87.354341,2831.91
210.0,Kishanganj,Bihar,26.295615,87.935283,1954.49
211.0,Purnia,Bihar,25.816137,87.407076,3271.66
212.0,Katihar,Bihar,25.545446,87.644986,3088.77
213.0,Madhepura,Bihar,25.825892,86.896288,1849.94
214.0,Saharsa,Bihar,25.816587,86.589798,1698.23
215.0,Darbhanga,Bihar,26.113796,86.025289,2298.75
216.0,Muzaffarpur,Bihar,26.151145,85.330759,3194.51
217.0,Gopalganj,Bihar,26.442745,84.377309,2042.81
218.0,Siwan,Bihar,26.160759,84.389549,2227.4
219.0,Saran (chhapra),Bihar,25.904655,84.825311,2649.21
220.0,Vaishali,Bihar,25.762314,85.370015,2012.01
221.0,Samastipur,Bihar,25.776965,85.903654,2916.61
222.0,Begusarai,Bihar,25.495287,86.130844,1947.46
223.0,Khagaria,Bihar,25.512183,86.603146,1499.58
224.0,Bhagalpur,Bihar,25.270485,87.084374,2563.87
225.0,Banka,Bihar,24.853693,86.840858,3123.93
226.0,Munger,Bihar,25.209967,86.52735,1440.42
227.0,Lakhisarai,Bihar,25.155466,86.131164,1273.05
228.0,Sheikhpura,Bihar,25.131943,85.828919,641.85
229.0,Nalanda,Bihar,25.220821,85.455862,2343.15
230.0,Patna,Bihar,25.456437,85.222159,3215.11
231.0,Bhojpur,Bihar,25.469046,84.543681,2376.07
232.0,Buxar,Bihar,25.491436,84.101822,1710.43
233.0,Kaimur (bhabua),Bihar,24.991128,83.606667,3349.38
234.0,Rohtas,Bihar,24.979411,84.027735,3868.54
235.0,Aurangabad,Bihar,24.792871,84.412197,3283.92
236.0,Gaya,Bihar,24.699076,84.935995,4977.94
237.0,Nawada,Bihar,24.811038,85.594136,2492.72
238.0,Jamui,Bihar,24.783801,86.295214,3066.51
239.0,Jehanabad,Bihar,25.15657,85.030135,933.28
240.0,Arwal,Bihar,25.16158,84.690404,666.89
241.0,North,Sikkim,27.743396,88.532447,4316.17
242.0,West,Sikkim,27.349122,88.177943,1214.16
243.0,South,Sikkim,27.286759,88.387874,740.13
244.0,East,Sikkim,27.292758,88.678047,955.39
245.0,Tawang,Arunanchal Pradesh,27.66186,91.953578,2424.74
246.0,West Kameng,Arunanchal Pradesh,27.302869,92.410975,5430.72
247.0,East Kameng,Arunanchal Pradesh,27.441116,92.968009,6210.14
248.0,Papum Pare,Arunanchal Pradesh,27.288791,93.596939,3925.92
249.0,Upper Subansiri,Arunanchal Pradesh,28.289952,93.936737,6672.36
250.0,West Siang,Arunanchal Pradesh,28.32087,94.511613,8285.64
251.0,East Siang,Arunanchal Pradesh,28.123786,95.163393,3921.04
252.0,Upper Siang,Arunanchal Pradesh,28.833555,94.918055,7077.84
253.0,Changlang,Arunanchal Pradesh,27.362646,96.345176,5331.74
254.0,Tirap,Arunanchal Pradesh,26.947124,95.440928,2135.3
255.0,Lower Subansiri,Arunanchal Pradesh,27.625542,93.939079,2579.24
256.0,Kurung Kumey,Arunanchal Pradesh,27.999829,93.392404,7034.25
257.0,Dibang Valley,Arunanchal Pradesh,28.951303,95.902753,7803.1
258.0,Lower Dibang Valley,Arunanchal Pradesh,28.372582,95.880395,5992.06
259.0,Lohit,Arunanchal Pradesh,27.840119,96.195209,4113.55
260.0,Anjaw,Arunanchal Pradesh,28.065489,96.828778,6910.33
261.0,Mon,Nagaland,26.73118,95.021655,1930.86
262.0,Mokokchung,Nagaland,26.471965,94.531756,1678.63
263.0,Zunheboto,Nagaland,26.031634,94.525282,1317.53
264.0,Wokha,Nagaland,26.184872,94.192629,1696.47
265.0,Dimapur,Nagaland,25.778525,93.785084,844.35
266.0,Phek,Nagaland,25.660831,94.525521,2145.86
267.0,Tuensang,Nagaland,26.200192,94.905752,2588.2
268.0,Longleng,Nagaland,26.555401,94.800309,591.04
269.0,Kiphire,Nagaland,25.844856,94.825142,1203.86
270.0,Kohima,Nagaland,25.781039,94.129076,1541.23
271.0,Peren,Nagaland,25.49957,93.623522,1811.85
272.0,Senapati,Manipur,25.196507,94.04015,3632.08
273.0,Tamenglong,Manipur,24.947273,93.52726,4359.55
274.0,Churachandpur,Manipur,24.289772,93.426876,4759.03
275.0,Bishnupur,Manipur,24.535221,93.801093,500.45
276.0,Thoubal,Manipur,24.530826,93.971612,744.1
277.0,Imphal West,Manipur,24.6816,93.154398,311.73
278.0,Imphal East,Manipur,24.816553,93.942121,959.7
279.0,Ukhrul,Manipur,25.020252,94.433985,4659.73
280.0,Chandel,Manipur,24.235492,94.093184,3323.8
281.0,Mamit,Mizoram,23.754013,92.467184,3136.33
282.0,Kolasib,Mizoram,24.197972,92.726936,1394.16
283.0,Aizawl,Mizoram,23.81062,92.889055,3866.91
284.0,Champhai,Mizoram,23.529404,93.240017,3480.2
285.0,Serchhip,Mizoram,23.265956,92.959209,1194.06
286.0,Lunglei,Mizoram,22.971923,92.722582,4677.57
287.0,Lawangtlai,Mizoram,22.3836,92.713197,2068.54
288.0,Saiha,Mizoram,22.376698,93.012174,2047.63
289.0,West Tripura,Tripura,23.802233,91.464871,3080.11
290.0,South Tripura,Tripura,23.368451,91.60955,3234.23
291.0,Dhalai,Tripura,23.843072,91.925906,2322.98
292.0,North Tripura,Tripura,24.130503,92.15552,2109.68
293.0,West Garo Hills,Meghalaya,25.58505,90.144814,3413.54
294.0,East Garo Hills,Meghalaya,25.735169,90.634221,2997.03
295.0,South Garo Hills,Meghalaya,25.30162,90.585297,1965.79
296.0,West Khasi Hills,Meghalaya,25.526494,91.260782,5362.52
297.0,Ri Bhoi,Meghalaya,25.870437,91.891024,2490.61
298.0,East Khasi Hills,Meghalaya,25.380404,91.800651,2885.65
299.0,Jaintia Hills,Meghalaya,25.368353,92.381076,3919.2
300.0,Kokrajhar,Assam,26.514508,90.130629,3238.54
301.0,Dhubri,Assam,26.067486,90.022375,2342.07
302.0,Goalpara,Assam,26.055456,90.605506,2055.95
303.0,Barpeta,Assam,26.340183,91.010841,2366.54
304.0,Marigaon,Assam,26.284769,92.281964,1593.98
305.0,Nagaon,Assam,26.222955,92.842518,4131.94
306.0,Sonitpur,Assam,26.782366,92.939251,5378.84
307.0,Lakhimpur,Assam,27.168957,94.12581,3005.55
308.0,Dhemaji,Assam,27.577746,94.777818,2726.55
309.0,Tinsukia,Assam,27.578576,95.6265,3992.84
310.0,Dibrugarh,Assam,27.366443,95.056174,3559.32
311.0,Sivasagar,Assam,27.007254,94.819994,2758.27
312.0,Jorhat,Assam,26.793961,94.256546,3127.33
313.0,Golaghat,Assam,26.457267,93.833443,3502.06
314.0,Karbi Anglong,Assam,26.065452,93.148707,10801.43
315.0,Dima Hasao,Assam,25.377052,93.034172,5082.6
316.0,Cachar,Assam,24.811249,92.856422,3918.38
317.0,Karimganj,Assam,24.581302,92.377457,1929.73
318.0,Hailakandi,Assam,24.494118,92.588773,1377.19
319.0,Bongaigaon,Assam,26.365205,90.624781,1075.79
320.0,Chirang,Assam,26.642974,90.616292,1768.93
321.0,Kamrup,Assam,26.118011,91.406148,2982.93
322.0,Kamrup Metropolitan,Assam,26.090025,91.821599,1242.18
323.0,Nalbari,Assam,26.367925,91.387668,1058.64
324.0,Baksa,Assam,26.664847,91.346514,2432.06
325.0,Darrang,Assam,26.449265,92.037403,1659.86
326.0,Udalguri,Assam,26.730067,92.037268,2100.65
327.0,Darjiling,West Bengal,26.913465,88.394682,3232.29
328.0,Jalpaiguri,West Bengal,26.660517,89.08443,6317.65
329.0,Koch Bihar,West Bengal,26.291065,89.343576,3463.02
330.0,Uttar Dinajpur,West Bengal,25.88098,88.158248,3264.88
331.0,Dakshin Dinajpur,West Bengal,25.364006,88.588184,2198.16
332.0,Maldah,West Bengal,25.136681,88.092326,3641.01
333.0,Murshidabad,West Bengal,24.161151,88.231067,5404.57
334.0,Birbhum,West Bengal,23.953559,87.666478,4594.44
335.0,Barddhaman,West Bengal,23.42777,87.767732,7103.65
336.0,Nadia,West Bengal,23.482694,88.521449,3973.25
337.0,North 24 Parganas,West Bengal,22.464952,88.780323,5889.87
338.0,Hugli,West Bengal,22.884702,88.079813,3183.24
339.0,Bankura,West Bengal,23.14098,87.134957,7011.15
340.0,Puruliya,West Bengal,23.27737,86.418326,6285.44
341.0,Haora,West Bengal,22.526034,88.067519,1464.95
342.0,Kolkata,West Bengal,22.555257,88.35584,92.62
343.0,South 24 Parganas,West Bengal,22.115958,88.416896,5651.7
344.0,Pashchim Medinipur,West Bengal,22.414271,87.267025,9466.11
345.0,Purba Medinipur,West Bengal,22.020759,87.774394,4090.88
346.0,Garhwa,Jharkhand,24.101049,83.699326,4106.7
347.0,Chatra,Jharkhand,24.173543,84.887101,3764.11
348.0,Kodarma,Jharkhand,24.437036,85.595598,2526.14
349.0,Giridih,Jharkhand,24.296357,86.110286,5034.45
350.0,Deoghar,Jharkhand,24.327974,86.741141,2454.74
351.0,Godda,Jharkhand,24.859581,87.312123,2258.69
352.0,Sahibganj,Jharkhand,25.008064,87.679559,2215.72
353.0,Pakur,Jharkhand,24.563261,87.66413,1832.94
354.0,Dhanbad,Jharkhand,23.82926,86.471943,2144.1
355.0,Bokaro,Jharkhand,23.691536,85.98803,2811.65
356.0,Lohardaga,Jharkhand,23.475683,84.670022,1500.98
357.0,Purbi Singhbhum,Jharkhand,22.582566,86.45266,3594.15
358.0,Palamu,Jharkhand,24.202416,84.167431,4425.16
359.0,Latehar,Jharkhand,23.717787,84.443226,4266.62
360.0,Hazaribagh,Jharkhand,23.989979,85.413211,3616.75
361.0,Ramgarh,Jharkhand,23.630726,85.560568,1359.28
362.0,Dumka,Jharkhand,24.319676,87.266637,3801.56
363.0,Jamtara,Jharkhand,23.976913,86.917231,1815.77
364.0,Ranchi,Jharkhand,23.331312,85.370764,4953.93
365.0,Khunti,Jharkhand,22.997713,85.274546,2717.35
366.0,Gumla,Jharkhand,23.102262,84.534676,5367.81
367.0,Simdega,Jharkhand,22.580073,84.566369,3792.99
368.0,Pashchimi Singhbhum,Jharkhand,22.419703,85.519594,7247.16
369.0,Saraikela-kharsawan,Jharkhand,22.844935,85.95156,2662.03
370.0,Bargarh,Odisha,21.220225,83.353441,5798.22
371.0,Jharsuguda,Odisha,21.805985,83.954734,2118.68
372.0,Sambalpur,Odisha,21.451912,84.280934,6740.02
373.0,Debagarh,Odisha,21.465936,84.803714,2817.97
374.0,Sundargarh,Odisha,22.079776,84.510577,9742.1
375.0,Kendujhar,Odisha,21.537081,85.705072,8344.67
376.0,Mayurbhanj,Odisha,21.895172,86.411179,10496.74
377.0,Baleshwar,Odisha,21.489779,86.917045,3909.19
378.0,Bhadrak,Odisha,20.985859,86.625402,2498.45
379.0,Kendrapara,Odisha,20.553126,86.609699,2494.97
380.0,Jagatsinghapur,Odisha,20.22182,86.343651,1750.48
381.0,Cuttack,Odisha,20.449593,85.705745,3961.09
382.0,Jajapur,Odisha,20.855928,86.152197,2913.91
383.0,Dhenkanal,Odisha,20.826175,85.526213,4491.0
384.0,Anugul,Odisha,20.986366,84.908959,6378.98
385.0,Nayagarh,Odisha,20.213057,84.999438,3902.57
386.0,Khordha,Odisha,20.089963,85.511418,2761.55
387.0,Puri,Odisha,19.876548,85.720894,3571.3
388.0,Ganjam,Odisha,19.626933,84.671068,8502.02
389.0,Gajapati,Odisha,19.173383,84.16068,4065.16
390.0,Kandhamal,Odisha,20.128896,84.047243,8059.15
391.0,Bauda,Odisha,20.646815,84.177645,3122.46
392.0,Subarnapur,Odisha,20.931536,83.824863,2359.57
393.0,Balangir,Odisha,20.590462,83.173883,6566.57
394.0,Nuapada,Odisha,20.465662,82.578315,3862.88
395.0,Kalahandi,Odisha,19.867699,83.109231,7901.88
396.0,Rayagada,Odisha,19.362278,83.513845,7371.15
397.0,Nabarangapur,Odisha,19.588042,82.337664,5296.39
398.0,Koraput,Odisha,18.816546,82.721266,8701.88
399.0,Malkangiri,Odisha,18.258068,81.956331,5816.81
400.0,Koriya,Chhattisgarh,23.468141,82.23719,6635.94
401.0,Surguja,Chhattisgarh,23.357765,83.219401,15737.32
402.0,Jashpur,Chhattisgarh,22.800429,83.866362,5812.33
403.0,Raigarh,Chhattisgarh,22.085823,83.306032,7088.78
404.0,Korba,Chhattisgarh,22.532313,82.611911,6582.45
405.0,Janjgir-champa,Chhattisgarh,21.926232,82.737935,3868.0
406.0,Bilaspur,Chhattisgarh,22.351317,81.961668,8332.96
407.0,Kabeerdham,Chhattisgarh,22.091031,81.223075,4216.65
408.0,Rajnandgaon,Chhattisgarh,21.039406,80.819271,8047.95
409.0,Durg,Chhattisgarh,21.191189,81.353843,8592.55
410.0,Raipur,Chhattisgarh,21.071287,82.173957,12438.31
411.0,Mahasamund,Chhattisgarh,21.207099,82.61282,4731.33
412.0,Dhamtari,Chhattisgarh,20.556139,81.8105,4055.57
413.0,Uttar Bastar Kanker,Chhattisgarh,20.147721,81.129188,6794.85
414.0,Bastar,Chhattisgarh,19.421963,81.770259,10339.43
415.0,Narayanpur,Chhattisgarh,19.604265,81.081192,4268.96
416.0,Dakshin Bastar Dantewada,Chhattisgarh,18.499958,81.37964,8866.65
417.0,Bijapur,Chhattisgarh,18.843216,80.7761,8775.67
418.0,Sheopur,Madhya Pradesh,25.752466,77.010434,6564.86
419.0,Morena,Madhya Pradesh,26.413781,77.868817,4993.29
420.0,Bhind,Madhya Pradesh,26.42108,78.722647,4469.77
421.0,Gwalior,Madhya Pradesh,26.011378,78.219572,5224.92
422.0,Datia,Madhya Pradesh,25.850458,78.568758,1887.49
423.0,Shivpuri,Madhya Pradesh,25.362674,77.812508,10491.06
